===== Stardust (USA) =====
Oktyabrskiy (USSR), 45 mm 21-KMT, 3
Oktyabrskiy (USSR), 45 mm VT-42 (T-70), 3
Oktyabrskiy (USSR), 57 mm ZiS-2 (SU-76), 3
Oktyabrskiy (USSR), 76 mm Gun mod. 1902/30 40 clb, 3
Oktyabrskiy (USSR), 76 mm L-10, 3
Oktyabrskiy (USSR), 76 mm L-10 (T-28), 3
Oktyabrskiy (USSR), 76 mm L-10A, 3
Oktyabrskiy (USSR), 76 mm L-10S, 3
Oktyabrskiy (USSR), 76 mm L-10U, 3
Oktyabrskiy (USSR), 122 mm Howitzer M-30, 4
Oktyabrskiy (USSR), 122 mm Howitzer mod. 1910/1930, 4
Oktyabrskiy (USSR), 37 mm ZiS-19 (BT-7), 4
Oktyabrskiy (USSR), 45 mm 20K (A-20), 4
Oktyabrskiy (USSR), 45 mm 20KM, 4
Oktyabrskiy (USSR), 45 mm VT-42, 4
Oktyabrskiy (USSR), 45 mm VT-43, 4
Oktyabrskiy (USSR), 57 mm ZiS-4 (T-28), 4
Oktyabrskiy (USSR), 57 mm ZiS-8S, 4
Oktyabrskiy (USSR), 76 mm F-32, 4
Oktyabrskiy (USSR), 76 mm F-34 (T-34), 4
Oktyabrskiy (USSR), 76 mm KT-IT, 4
Oktyabrskiy (USSR), 76 mm L-11, 4
Oktyabrskiy (USSR), 76 mm S-1, 4
Oktyabrskiy (USSR), 76 mm ZiS-3 (SU-76), 4
Oktyabrskiy (USSR), 76 mm ZiS-5 (KV-1), 4
Oktyabrskiy (USSR), 85 mm D-5S, 4
Oktyabrskiy (USSR), QF 2-pdr Mk. IX-A, 4
Oktyabrskiy (USSR), QF 6-pdr Mk. V, 4
Oktyabrskiy (USSR), 100 mm D-10S, 5
Oktyabrskiy (USSR), 107 mm ZiS-6 (KV-2), 5
Oktyabrskiy (USSR), 122 mm Howitzer A-19, 5
Oktyabrskiy (USSR), 122 mm Howitzer M-30 mod. 1938, 5
Oktyabrskiy (USSR), 122 mm U-11, 5
Oktyabrskiy (USSR), 122 mm U-11 (KV-1), 5
Oktyabrskiy (USSR), 152 mm Howitzer D-1, 5
Oktyabrskiy (USSR), 152 mm Mortar NM mod. 1931, 5
Oktyabrskiy (USSR), 37 mm Automatic SH-37, 5
Oktyabrskiy (USSR), 45 mm VT-42 (A-20), 5
Oktyabrskiy (USSR), 45 mm VT-43M, 5
Oktyabrskiy (USSR), 57 mm ZiS-4 (T-34), 5
Oktyabrskiy (USSR), 57 mm ZiS-4M, 5
Oktyabrskiy (USSR), 76 mm F-34, 5
Oktyabrskiy (USSR), 76 mm F-34 (1943), 5
Oktyabrskiy (USSR), 76 mm F-96, 5
Oktyabrskiy (USSR), 76 mm L-11 T, 5
Oktyabrskiy (USSR), 76 mm S-54, 5
Oktyabrskiy (USSR), 76 mm S-54 (T-34), 5
Oktyabrskiy (USSR), 76 mm ZiS-3, 5
Oktyabrskiy (USSR), 76 mm ZiS-5, 5
Oktyabrskiy (USSR), 76 mm ZiS-5, 5
Oktyabrskiy (USSR), 76 mm ZiS-5 (KV-1S), 5
Oktyabrskiy (USSR), 76 mm ZiS-5A, 5
Oktyabrskiy (USSR), 85 mm D-5S-85BM, 5
Oktyabrskiy (USSR), 85 mm F-30 (KV-1), 5
Oktyabrskiy (USSR), 85 mm S-31, 5
Oktyabrskiy (USSR), 85 mm ZiS-S-53 (T-34-85), 5
Oktyabrskiy (USSR), 100 mm D-10S mod. 1944 (SU-100M1), 6
Oktyabrskiy (USSR), 107 mm ZiS-6 (KV-3), 6
Oktyabrskiy (USSR), 107 mm ZiS-6 (T-150), 6
Oktyabrskiy (USSR), 122 mm A-19 mod. 1937, 6
Oktyabrskiy (USSR), 122 mm D-2-5S, 6
Oktyabrskiy (USSR), 122 mm Howitzer S-41, 6
Oktyabrskiy (USSR), 152 mm BR-2 (S-51), 6
Oktyabrskiy (USSR), 152 mm Howitzer ML-20 mod. 1931, 6
Oktyabrskiy (USSR), 152 mm Howitzer ML-20 mod. 1931 (SU-8), 6
Oktyabrskiy (USSR), 152 mm M-10, 6
Oktyabrskiy (USSR), 152 mm M-10, 6
Oktyabrskiy (USSR), 57 mm ZiS-2, 6
Oktyabrskiy (USSR), 57 mm ZiS-4, 6
Oktyabrskiy (USSR), 57 mm ZiS-4-44, 6
Oktyabrskiy (USSR), 57 mm ZiS-4T, 6
Oktyabrskiy (USSR), 76 mm M1A2 gun, 6
Oktyabrskiy (USSR), 76 mm S-54M, 6
Oktyabrskiy (USSR), 85 mm D-5S-85A, 6
Oktyabrskiy (USSR), 85 mm D-5S-85A, 6
Oktyabrskiy (USSR), 85 mm D-5T, 6
Oktyabrskiy (USSR), 85 mm D-5T (IS), 6
Oktyabrskiy (USSR), 85 mm D-5T-85BM (T-34-85), 6
Oktyabrskiy (USSR), 85 mm F-30, 6
Oktyabrskiy (USSR), 85 mm LB-2S, 6
Oktyabrskiy (USSR), 85 mm S-31M, 6
Oktyabrskiy (USSR), 85 mm S-31MA, 6
Oktyabrskiy (USSR), 85 mm ZiS-S-53, 6
Oktyabrskiy (USSR), 85 mm ZiS-S-53, 6
Oktyabrskiy (USSR), 85 mm ZiS-S-53 (T-43), 6
Oktyabrskiy (USSR), 85 mm ZiS-S-53M, 6
Oktyabrskiy (USSR), 100 mm D-10S mod. 1944, 7
Oktyabrskiy (USSR), 100 mm D-10T, 7
Oktyabrskiy (USSR), 100 mm D-10T (IS), 7
Oktyabrskiy (USSR), 100 mm D10T-K, 7
Oktyabrskiy (USSR), 100 mm LB-1, 7
Oktyabrskiy (USSR), 100 mm LB-1S, 7
Oktyabrskiy (USSR), 100 mm S-34, 7
Oktyabrskiy (USSR), 100 mm S-34I, 7
Oktyabrskiy (USSR), 107 mm ZiS-6, 7
Oktyabrskiy (USSR), 107 mm ZiS-6 (KV-4), 7
Oktyabrskiy (USSR), 107 mm ZiS-6M, 7
Oktyabrskiy (USSR), 122 mm D-2-5T, 7
Oktyabrskiy (USSR), 122 mm D-25S mod. 1944, 7
Oktyabrskiy (USSR), 122 mm D-25T (IS), 7
Oktyabrskiy (USSR), 122 mm D-25T (IS-3), 7
Oktyabrskiy (USSR), 122 mm D-25T (IS-M), 7
Oktyabrskiy (USSR), 122 mm D-25T (KV-3), 7
Oktyabrskiy (USSR), 152 mm BR-2, 7
Oktyabrskiy (USSR), 152 mm BR-2 (SU-14), 7
Oktyabrskiy (USSR), 152 mm ML-20 mod. 1931/37, 7
Oktyabrskiy (USSR), 152 mm ML-20S, 7
Oktyabrskiy (USSR), 203 mm B-4 (S-51), 7
Oktyabrskiy (USSR), 85 mm D-5T-85BM, 7
Oktyabrskiy (USSR), 85 mm D-5T-85BM (T-43), 7
Oktyabrskiy (USSR), 85 mm D-5T-85BMU, 7
Oktyabrskiy (USSR), 85 mm D-5T-85BMU (LTG), 7
Oktyabrskiy (USSR), 85 mm D-5TD, 7
Oktyabrskiy (USSR), 85 mm D5T-85BM, 7
Oktyabrskiy (USSR), 85 mm ZiS-S-53, 7
Oktyabrskiy (USSR), 100 mm D-10T mod. 1945, 8
Oktyabrskiy (USSR), 100 mm D-10TM, 8
Oktyabrskiy (USSR), 100 mm D-33, 8
Oktyabrskiy (USSR), 100 mm LB-1, 8
Oktyabrskiy (USSR), 100 mm LB-1, 8
Oktyabrskiy (USSR), 100 mm M-63, 8
Oktyabrskiy (USSR), 100 mm M-63 (416), 8
Oktyabrskiy (USSR), 100 mm S-34D, 8
Oktyabrskiy (USSR), 100 mm S-34D (IS-2-II), 8
Oktyabrskiy (USSR), 100 mm T-12 (a), 8
Oktyabrskiy (USSR), 107 mm ZiS-24, 8
Oktyabrskiy (USSR), 107 mm ZiS-6U, 8
Oktyabrskiy (USSR), 122 mm BL-13-1 (705), 8
Oktyabrskiy (USSR), 122 mm BL-9, 8
Oktyabrskiy (USSR), 122 mm BL-9 (257), 8
Oktyabrskiy (USSR), 122 mm BL-9 (IS-3), 8
Oktyabrskiy (USSR), 122 mm D-25-44T, 8
Oktyabrskiy (USSR), 122 mm D-25BM, 8
Oktyabrskiy (USSR), 122 mm D-25E-A2, 8
Oktyabrskiy (USSR), 122 mm D-25S, 8
Oktyabrskiy (USSR), 122 mm D-25S mod. 1944, 8
Oktyabrskiy (USSR), 122 mm D-25T, 8
Oktyabrskiy (USSR), 122 mm D-25T, 8
Oktyabrskiy (USSR), 122 mm D-25T, 8
Oktyabrskiy (USSR), 122 mm D-25T (KV-4), 8
Oktyabrskiy (USSR), 122 mm D-25T (T-10), 8
Oktyabrskiy (USSR), 122 mm D-25T-N, 8
Oktyabrskiy (USSR), 122 mm D-25TA, 8
Oktyabrskiy (USSR), 122 mm D-25TA-2, 8
Oktyabrskiy (USSR), 122 mm D-25TB, 8
Oktyabrskiy (USSR), 122 mm D-25TS, 8
Oktyabrskiy (USSR), 122 mm D-30, 8
Oktyabrskiy (USSR), 122 mm M62-S2, 8
Oktyabrskiy (USSR), 122 mm M62-S2 (SU-101), 8
Oktyabrskiy (USSR), 130 mm B-13-S2, 8
Oktyabrskiy (USSR), 130 mm M-65B, 8
Oktyabrskiy (USSR), 130 mm S-26, 8
Oktyabrskiy (USSR), 152 mm BR-2 (212A), 8
Oktyabrskiy (USSR), 152 mm D-4S, 8
Oktyabrskiy (USSR), 152 mm D-4S (704), 8
Oktyabrskiy (USSR), 203 mm B-4 (SU-14), 8
Oktyabrskiy (USSR), 85 mm D-10-85, 8
Oktyabrskiy (USSR), 85 mm D-58, 8
Oktyabrskiy (USSR), 85 mm N-3-457, 8
Oktyabrskiy (USSR), 100 mm D-10T2S, 9
Oktyabrskiy (USSR), 100 mm D-10T2S, 9
Oktyabrskiy (USSR), 100 mm D-10TM mod. 1945, 9
Oktyabrskiy (USSR), 100 mm D-46TK, 9
Oktyabrskiy (USSR), 100 mm D-46TP, 9
Oktyabrskiy (USSR), 100 mm D-54TA, 9
Oktyabrskiy (USSR), 100 mm D-54U, 9
Oktyabrskiy (USSR), 107 mm 9S1, 9
Oktyabrskiy (USSR), 107 mm LP-21, 9
Oktyabrskiy (USSR), 107 mm LP-21A, 9
Oktyabrskiy (USSR), 107 mm M-75, 9
Oktyabrskiy (USSR), 107 mm M-75K, 9
Oktyabrskiy (USSR), 122 mm BL-13, 9
Oktyabrskiy (USSR), 122 mm BL-13-1 (257), 9
Oktyabrskiy (USSR), 122 mm BL-13S, 9
Oktyabrskiy (USSR), 122 mm BL-9D, 9
Oktyabrskiy (USSR), 122 mm D-25TSU, 9
Oktyabrskiy (USSR), 122 mm M-62VA, 9
Oktyabrskiy (USSR), 122 mm M62-T2 (ST-I), 9
Oktyabrskiy (USSR), 122 mm M62-T2 (T-10), 9
Oktyabrskiy (USSR), 122 mm S-34-49, 9
Oktyabrskiy (USSR), 122 mm S-34-II, 9
Oktyabrskiy (USSR), 122 mm S-34-IIM, 9
Oktyabrskiy (USSR), 130 mm M-65 (1476), 9
Oktyabrskiy (USSR), 130 mm S-70 (705), 9
Oktyabrskiy (USSR), 130 mm S-70A, 9
Oktyabrskiy (USSR), 152 mm BL-10, 9
Oktyabrskiy (USSR), 203 mm B-4, 9
Oktyabrskiy (USSR), 203 mm B-4 (212A), 9
Oktyabrskiy (USSR), 100 mm D-46T, 10
Oktyabrskiy (USSR), 100 mm D-54TS, 10
Oktyabrskiy (USSR), 100 mm NT-12, 10
Oktyabrskiy (USSR), 100 mm T-100, 10
Oktyabrskiy (USSR), 100 mm U-8TS, 10
Oktyabrskiy (USSR), 100 mm U-8TS, 10
Oktyabrskiy (USSR), 100 mm U-8TS (140), 10
Oktyabrskiy (USSR), 122 mm BL-13-1, 10
Oktyabrskiy (USSR), 122 mm M-62T2, 10
Oktyabrskiy (USSR), 122 mm M-62T2, 10
Oktyabrskiy (USSR), 122 mm M62-T2, 10
Oktyabrskiy (USSR), 122 mm M62-T2, 10
Oktyabrskiy (USSR), 122 mm M62-T2A, 10
Oktyabrskiy (USSR), 122 mm M62-T2D, 10
Oktyabrskiy (USSR), 122 mm M62-T2U, 10
Oktyabrskiy (USSR), 122 mm M62-TS2, 10
Oktyabrskiy (USSR), 130 mm 2A50, 10
Oktyabrskiy (USSR), 130 mm B-13, 10
Oktyabrskiy (USSR), 130 mm M-65, 10
Oktyabrskiy (USSR), 130 mm M-65D, 10
Oktyabrskiy (USSR), 130 mm M-65K, 10
Oktyabrskiy (USSR), 130 mm M-65S, 10
Oktyabrskiy (USSR), 130 mm S-70, 10
Oktyabrskiy (USSR), 140 mm D-63Sh, 10
Oktyabrskiy (USSR), 152 mm BL-10A, 10
Oktyabrskiy (USSR), 152 mm M-51, 10
Oktyabrskiy (USSR), 152 mm M-53, 10
Oktyabrskiy (USSR), 152 mm M-53S, 10
Oktyabrskiy (USSR), 152 mm M-64, 10
Oktyabrskiy (USSR), 180 mm B-1-P, 10
Oktyabrskiy (USSR), 125 mm D-181, 11
Oktyabrskiy (USSR), 136 mm D-79, 11


===== White Roses (UK) =====
nation, name, tier
White Roses (UK), 13.2 mm Hotchkiss mle. 1930, 1
White Roses (UK), 13.2 mm Hotchkiss mle. 1930 (FT), 1
White Roses (UK), 37 mm APX SA18, 1
White Roses (UK), 37 mm APX SA18 (FT), 1
White Roses (UK), 37 mm SA38 (FCM), 1
White Roses (UK), 25 mm AC SA-L mle. 1937, 2
White Roses (UK), 25 mm Canon Raccourci mle. 1934, 2
White Roses (UK), 25 mm Canon Raccourci mle. 1934 (FCM), 2
White Roses (UK), 25 mm Canon Raccourci mle. 1934 A, 2
White Roses (UK), 25 mm SA35, 2
White Roses (UK), 25 mm automatique mle. 1936, 2
White Roses (UK), 37 mm APX SA18A, 2
White Roses (UK), 37 mm SA38, 2
White Roses (UK), 37 mm SA38 (38), 2
White Roses (UK), 47 mm SA34, 2
White Roses (UK), 47 mm SA35 (S35), 2
White Roses (UK), 75 mm Blockhaus Schneider, 2
White Roses (UK), 105 mm court mle. 1935 B, 3
White Roses (UK), 47 mm SA-L mle. 1937, 3
White Roses (UK), 47 mm SA35, 3
White Roses (UK), 47 mm SA35 (38), 3
White Roses (UK), 47 mm SA35 (40), 3
White Roses (UK), 47 mm SA35 (B1), 3
White Roses (UK), 47 mm SA37, 3
White Roses (UK), 47 mm SA37 (S35), 3
White Roses (UK), 75 mm APX mle. 1897, 3
White Roses (UK), 75 mm APX mle. 1938, 3
White Roses (UK), 105 mm AC court mle. 1934 S, 4
White Roses (UK), 105 mm D.E.F.A. 4767 modifié, 4
White Roses (UK), 105 mm court mle. 1934 S, 4
White Roses (UK), 105 mm court mle. 1934 S (105 AM), 4
White Roses (UK), 17-pdr AT Gun Mk. II, 4
White Roses (UK), 47 mm SA37 (B1), 4
White Roses (UK), 47 mm SA37 amélioré, 4
White Roses (UK), 6-pdr AT Gun Mk. IV, 4
White Roses (UK), 7,5 cm Pak 40/2, 4
White Roses (UK), 75 mm AC SA44, 4
White Roses (UK), 75 mm SA32, 4
White Roses (UK), 75 mm SA32 (40), 4
White Roses (UK), 75 mm SA44 (BDR), 4
White Roses (UK), 75 mm SA44L, 4
White Roses (UK), 10,5 cm le.F.H. 18 L/28, 5
White Roses (UK), 105 mm court mle. 1934, 5
White Roses (UK), 105 mm obusier mle. 1950, 5
White Roses (UK), 105 mm obusier mle. 1950 (105 AM), 5
White Roses (UK), 3-inch AT Gun M7, 5
White Roses (UK), 47 mm SA37B amélioré, 5
White Roses (UK), 75 mm SA44, 5
White Roses (UK), 75 mm SA49 (12 t), 5
White Roses (UK), 90 mm AC canon DCA 30, 5
White Roses (UK), 90 mm AC canon DCA 30 (35CA), 5
White Roses (UK), 90 mm D. 915, 5
White Roses (UK), 90 mm DCA 30 (ARL), 5
White Roses (UK), 90 mm DCA 30 (BDR), 5
White Roses (UK), CN 75 SA 49, 5
White Roses (UK), Obusier de 155 mm C mle. 1917, 5
White Roses (UK), 57 mm L/100, 6
White Roses (UK), 7,5 cm Kw.K. 42 L/70, 6
White Roses (UK), 75 mm SA49 (13 75), 6
White Roses (UK), 75 mm SA49 (178B), 6
White Roses (UK), 75 mm SA49 (EBR), 6
White Roses (UK), 75 mm SA50 (12 t), 6
White Roses (UK), 75 mm SA50 mle. 50, 6
White Roses (UK), 90 mm AC DCA 45, 6
White Roses (UK), 90 mm AC DCA 45 (V39), 6
White Roses (UK), 90 mm D. 914, 6
White Roses (UK), 90 mm DCA 30, 6
White Roses (UK), 90 mm DCA 45, 6
White Roses (UK), 90 mm DCA 45 (ARL), 6
White Roses (UK), Canon de 155 mm de 33 calibres, 6
White Roses (UK), Canon de 155 mm de 33 calibres (F3 AM), 6
White Roses (UK), 100 mm AC SA47, 7
White Roses (UK), 100 mm SA47 (65), 7
White Roses (UK), 100 mm SA47 (AC 46), 7
White Roses (UK), 105 mm Canon 13TR, 7
White Roses (UK), 75 mm SA50, 7
White Roses (UK), 75 mm SA50L, 7
White Roses (UK), 90 mm DCA 45, 7
White Roses (UK), 90 mm DCA 45 (50 100), 7
White Roses (UK), 90 mm F3, 7
White Roses (UK), Canon de 75 mm Vo 1000 m/s (EBR), 7
White Roses (UK), Canon de 75 mm Vo 920 m/s, 7
White Roses (UK), Obusier de 155 mm mle. 1950, 7
White Roses (UK), Obusier de 155 mm mle. 1950 (L50), 7
White Roses (UK), 100 mm SA47, 8
White Roses (UK), 100 mm SA47, 8
White Roses (UK), 100 mm SA47 (50 100), 8
White Roses (UK), 100 mm SA47 (50 120), 8
White Roses (UK), 100 mm SA47 A, 8
White Roses (UK), 100 mm SA47-58, 8
White Roses (UK), 105 mm D. 1504 L/51, 8
White Roses (UK), 105 mm SK L/70, 8
White Roses (UK), 120 mm AC SA46, 8
White Roses (UK), 120 mm D. 1203, 8
White Roses (UK), 120 mm D. 1203 A, 8
White Roses (UK), 120 mm D. 1203 A, 8
White Roses (UK), 120 mm D. 1203 LA, 8
White Roses (UK), 120 mm SA46 (AC 48), 8
White Roses (UK), 75 mm CN 75-50, 8
White Roses (UK), 75 mm SA50 mle. 54, 8
White Roses (UK), 90 mm AC DCA 45, 8
White Roses (UK), 90 mm CN 90 F3, 8
White Roses (UK), 90 mm D. 919, 8
White Roses (UK), 90 mm D. 921 F1, 8
White Roses (UK), 90 mm DCA 45A, 8
White Roses (UK), Canon bitube de 105 mm D. 1507, 8
White Roses (UK), Canon de 155 mm mle. 1917 G.P.F., 8
White Roses (UK), Canon de 155 mm mle. 1917 G.P.F. (L51), 8
White Roses (UK), Canon de 75 mm Vo 1000 m/s, 8
White Roses (UK), Canon de 90 mm Vo 930 m/s, 8
White Roses (UK), 100 mm SA47 (BC), 9
White Roses (UK), 100 mm SA47-75, 9
White Roses (UK), 105 mm CN-105-F1 (Chevalier), 9
White Roses (UK), 105 mm CN-105-F1 L/56, 9
White Roses (UK), 105 mm Canon 76S, 9
White Roses (UK), 105 mm D. 1090, 9
White Roses (UK), 110 mm CN 110 F1 (Fantôme), 9
White Roses (UK), 120 mm DEFA 120 F, 9
White Roses (UK), 120 mm SA46 (50 120), 9
White Roses (UK), 120 mm SA46 (Foch), 9
White Roses (UK), 127 mm/54 Model 1948, 9
White Roses (UK), 128 mm K. 40 (Terrifiant), 9
White Roses (UK), 90 mm D. 921, 9
White Roses (UK), 90 mm F3M, 9
White Roses (UK), 90 mm T90.22 Mle. F3, 9
White Roses (UK), Canon 105 mm mle 57 (D.1504), 9
White Roses (UK), Canon de 155 mm (BC55), 9
White Roses (UK), Canon de 75 mm Mle. 55-70, 9
White Roses (UK), 105 mm CN 105, 10
White Roses (UK), 105 mm D. 1504, 10
White Roses (UK), 105 mm D. 1504 (EBR), 10
White Roses (UK), 105 mm D. 1504-4-1, 10
White Roses (UK), 105 mm mle. 57 (D. 1504), 10
White Roses (UK), 105 mm mle. F1, 10
White Roses (UK), 120 mm AC SA46, 10
White Roses (UK), 120 mm D. 1203 B, 10
White Roses (UK), 120 mm D. 1203 P, 10
White Roses (UK), 120 mm SA46, 10
White Roses (UK), 130 mm/45 Model 1935, 10
White Roses (UK), 155 mm AC SA58, 10
White Roses (UK), Canon de 105 mm modèle F1 M, 10
White Roses (UK), Canon de 120/67 T53 (D), 10
White Roses (UK), Canon de 155 mm, 10
White Roses (UK), 118 mm D. 1507AS, 11
White Roses (UK), 120 mm IPC-1, 11
White Roses (UK), 120 mm SA46/67, 11
White Roses (UK), 20 mm wz.38 FK-A, 1
White Roses (UK), 37 mm Bofors wz. 37 (7TP), 1
White Roses (UK), 47 mm QFSA, 1
White Roses (UK), 37 mm Bofors wz. 37, 2
White Roses (UK), 40 mm Działko czołgowe Dł.55, 2
White Roses (UK), n.k.m. 20 mm wz. 38 FK-A, 2
White Roses (UK), 47 mm armata wz. 39, 3
White Roses (UK), 47 mm kan m/38 strv, 3
White Roses (UK), 40 mm auto. Boforsa, 4
White Roses (UK), 40 mm auto. Boforsa II, 4
White Roses (UK), 75 mm wz. 22/24, 4
White Roses (UK), 75 mm wz. 36/38, 4
White Roses (UK), 75 mm wz. 1897, 5
White Roses (UK), 75 mm wz. 36/37, 5
White Roses (UK), 75 mm wz. 36/37 (DS), 5
White Roses (UK), 75 mm wz. 36/37M, 5
White Roses (UK), 90 mm wz. 39-90, 5
White Roses (UK), 90 mm wz. 39-90 (40), 5
White Roses (UK), 100 mm DAP, 6
White Roses (UK), 100 mm DAP (44), 6
White Roses (UK), 7,5 cm Kw.K. 42 L/70, 6
White Roses (UK), 85 mm ZiS-S-53, 6
White Roses (UK), 90 mm armata wz. 46, 6
White Roses (UK), 90 mm wz. 39/40, 6
White Roses (UK), 90 mm wz. 39/40 (40TP), 6
White Roses (UK), 90 mm wz. 39/40M, 6
White Roses (UK), 100 mm armata wz. 49, 7
White Roses (UK), 100 mm armata wz. 53, 7
White Roses (UK), 105 mm Bofors wz. 34, 7
White Roses (UK), 105 mm Bofors wz. 34M, 7
White Roses (UK), 122 mm wz. 59, 7
White Roses (UK), GG-85/150 mm, 7
White Roses (UK), 100 mm armata wz. 58, 8
White Roses (UK), 100 mm armata wz. 62, 8
White Roses (UK), 100/162 mm Wz.64-1 (Husarz), 8
White Roses (UK), 105 mm armata wz. 52, 8
White Roses (UK), 122 mm armata wz. 53/56, 8
White Roses (UK), 122 mm wz. 53, 8
White Roses (UK), 122 mm wz. 53 (53TP), 8
White Roses (UK), 128 mm SK C/34L, 8
White Roses (UK), GG-100/162 mm, 8
White Roses (UK), GG-100/162 mm (58), 8
White Roses (UK), 100 mm armata wz. 62 P., 9
White Roses (UK), 105 mm armata wz. 59, 9
White Roses (UK), 122 mm armata wz. 56, 9
White Roses (UK), 122 mm wz.43/50, 9
White Roses (UK), 130 mm R 14 wz. 56, 9
White Roses (UK), 155 mm armata wz. 40-46, 9
White Roses (UK), GG-100/162 mm K, 9
White Roses (UK), GG-85/175 mm (60), 9
White Roses (UK), 105 mm armata wz. 64, 10
White Roses (UK), 105mm armata wz. 64, 10
White Roses (UK), 152 mm J 2, 10
White Roses (UK), 152 mm J 2, 10
White Roses (UK), GG-85/175 mm, 10
White Roses (UK), GG-85/175 mm GC, 10
White Roses (UK), 115 mm armata U-5TS, 11
White Roses (UK), 15 mm Machine Gun BESA, 1
White Roses (UK), 40 mm Pom-Pom prototype, 1
White Roses (UK), Browning MG caliber .50 HB, M2, 1
White Roses (UK), OQF 3-pdr Gun Mk. I, 1
White Roses (UK), QF 2-pdr Mk. IX prototype, 1
White Roses (UK), QF 2-pdr Mk. IX prototype (I), 1
White Roses (UK), 37 mm Gun M5, 2
White Roses (UK), 40 mm Pom-Pom (II), 2
White Roses (UK), OQF 3-pdr Gun Mk. II, 2
White Roses (UK), Q.F. 13-Pr. Mk. III, 2
White Roses (UK), QF 2-pdr AT Gun Mk. IX, 2
White Roses (UK), QF 2-pdr Mk. IX (III), 2
White Roses (UK), QF 2-pdr Mk. X (Val), 2
White Roses (UK), QF 6-pdr 8 cwt AT Gun Mk. II, 2
White Roses (UK), QF 6-pdr 8 cwt Mk. II, 2
White Roses (UK), 37 mm Gun M6, 3
White Roses (UK), 40 mm Pom-Pom, 3
White Roses (UK), Q.F. 18-Pr., 3
White Roses (UK), QF 2-pdr Mk. IX, 3
White Roses (UK), QF 2-pdr Mk. IX, 3
White Roses (UK), QF 2-pdr Mk. IX (IV), 3
White Roses (UK), QF 2-pdr Mk. X (A12), 3
White Roses (UK), QF 6-pdr AT Gun Mk. II (VAT), 3
White Roses (UK), QF 6-pdr Gun Mk. V early, 3
White Roses (UK), 2-pdr Gun Mk X-B HH, 4
White Roses (UK), 75 mm AT Gun M3, 4
White Roses (UK), 75 mm Gun M2, 4
White Roses (UK), 75 mm Gun M3, 4
White Roses (UK), Q.F. 25-Pr. Gun/How., 4
White Roses (UK), Q.F. 25-Pr. Gun/How. (Bishop), 4
White Roses (UK), Q.F. 25-Pr. Gun/How. Mk. II, 4
White Roses (UK), QF 2-pdr Mk. X (A13 III), 4
White Roses (UK), QF 2-pdr Mk. X (A22), 4
White Roses (UK), QF 2-pdr Mk. X-A, 4
White Roses (UK), QF 2-pdr Mk. X-B, 4
White Roses (UK), QF 2-pdr Mk. XA*, 4
White Roses (UK), QF 40 mm Mk. VI Bofors (IV), 4
White Roses (UK), QF 6-pdr 8 cwt AT Gun Mk. I, 4
White Roses (UK), QF 6-pdr 8 cwt Mk. I, 4
White Roses (UK), QF 6-pdr AT Gun Mk. II, 4
White Roses (UK), QF 6-pdr AT Gun Mk. III, 4
White Roses (UK), QF 6-pdr AT Gun Mk. IV, 4
White Roses (UK), QF 6-pdr AT Gun Mk. IV (VAT), 4
White Roses (UK), QF 6-pdr Mk. III, 4
White Roses (UK), QF 6-pdr Mk. III (A24), 4
White Roses (UK), 105 mm M4, 5
White Roses (UK), 3.7-inch AT Howitzer, 5
White Roses (UK), 75 mm Gun Mk. V, 5
White Roses (UK), 75 mm Gun Mk. V, 5
White Roses (UK), 75 mm Gun Mk. V (A22F), 5
White Roses (UK), OQF 17-pdr AT Gun Mk. V, 5
White Roses (UK), OQF 77 mm AT Gun Mk. II, 5
White Roses (UK), Q.F. 25-Pr. AT Gun/How. Mk. III, 5
White Roses (UK), Q.F. 25-Pr. Gun/How. (304), 5
White Roses (UK), Q.F. 4.5-in. Howitzer (Bishop), 5
White Roses (UK), QF 2-pdr Mk. X, 5
White Roses (UK), QF 40 mm Mk. VI Bofors, 5
White Roses (UK), QF 6-pdr AT Gun Mk. V, 5
White Roses (UK), QF 6-pdr Gun Mk. V, 5
White Roses (UK), QF 6-pdr Gun Mk. V (A22), 5
White Roses (UK), QF 6-pdr Gun Mk. V (A27M), 5
White Roses (UK), QF 6-pdr Mk. III A, 5
White Roses (UK), QF 6-pdr Mk. V (A24), 5
White Roses (UK), QF 6-pdr Mk. V A, 5
White Roses (UK), QF 6-pdr Mk. V B, 5
White Roses (UK), QF 6-pdr Mk. VA, 5
White Roses (UK), QF 6-pdr Mk. VA (AEC), 5
White Roses (UK), 3-inch 20 cwt AT Gun Mk. III, 6
White Roses (UK), 75 mm Gun Mk. 5, 6
White Roses (UK), 75 mm Gun Mk. V, 6
White Roses (UK), 75 mm Gun Mk. V (A27M), 6
White Roses (UK), 75 mm Gun Mk. V (A34), 6
White Roses (UK), 75 mm Gun Mk. V C, 6
White Roses (UK), 75 mm Gun Mk. V G, 6
White Roses (UK), 76 mm 'Excalibur' Gun, 6
White Roses (UK), 76 mm Gun M1A1, 6
White Roses (UK), 76 mm L5A3 (FSV), 6
White Roses (UK), OQF 17-pdr AT Gun Mk. II, 6
White Roses (UK), OQF 17-pdr AT Gun Mk. VII (A30), 6
White Roses (UK), OQF 17-pdr AT Gun Mk. VII (AT 7), 6
White Roses (UK), OQF 17-pdr AT Gun Mk. VII (AT 8), 6
